node_index,zone_id,is_centroid
569,163,0
570,163,0
571,163,0
572,141,0
573,140,0
574,141,0
575,140,0
576,140,0
577,141,0
578,140,0
579,140,0
580,140,0
581,140,0
582,237,0
583,141,0
584,137,0
585,137,0
586,137,0
587,224,0
588,137,0
589,137,0
590,246,0
591,246,0
592,246,0
593,246,0
594,246,0
595,246,0
596,48,0
597,246,0
598,246,0
599,246,0
600,246,0
601,246,0
602,246,0
603,246,0
604,246,0
605,48,0
606,48,0
607,48,0
608,75,0
609,75,0
610,75,0
611,74,0
612,262,0
613,75,0
614,74,0
615,262,0
616,75,0
617,75,0
618,143,0
619,143,0
620,143,0
621,239,1
622,239,0
623,143,0
624,143,0
625,143,1
626,143,0
627,239,0
628,143,0
629,142,0
630,142,0
631,143,0
632,143,0
633,239,0
634,141,0
635,229,0
636,229,0
637,74,0
638,74,0
639,74,0
640,74,0
641,74,0
642,74,0
643,75,0
644,74,0
645,74,0
646,74,0
647,74,0
648,75,0
649,75,0
650,75,0
651,75,0
652,140,0
653,140,0
654,140,0
655,140,0
656,140,0
657,140,0
658,140,0
659,140,0
660,262,0
661,140,0
662,140,0
663,50,0
664,50,0
665,50,0
666,50,0
667,50,0
668,50,0
669,50,0
670,50,0
671,48,0
672,50,0
673,50,0
674,50,0
675,239,0
676,239,0
677,239,0
678,239,0
679,236,0
680,239,0
681,239,0
682,239,0
683,239,0
684,236,0
685,236,0
686,239,0
687,42,0
688,74,0
689,42,0
690,74,0
691,42,0
692,74,0
693,74,0
694,42,0
695,42,0
696,231,0
697,231,0
698,231,0
699,231,0
700,231,0
701,231,0
702,231,0
703,231,0
704,231,0
705,231,0
706,231,0
707,231,0
708,231,0
709,231,0
710,231,0
711,231,0
712,231,0
713,231,1
714,231,0
715,231,0
716,231,0
717,231,0
718,231,0
719,231,0
720,231,0
721,231,0
722,231,0
723,238,0
724,43,0
725,238,0
726,151,0
727,238,0
728,43,0
729,238,0
730,238,0
731,238,0
732,151,0
733,238,0
734,236,0
735,238,0
736,238,0
737,238,0
738,238,0
739,151,0
740,238,0
741,42,0
742,42,0
743,42,0
744,42,0
745,42,0
746,42,0
747,42,0
748,42,0
749,42,0
750,42,0
751,42,0
752,42,0
753,42,0
754,42,0
755,42,0
756,42,0
757,42,0
758,42,0
759,231,0
760,231,0
761,125,0
762,125,0
763,125,0
764,125,0
765,125,0
766,231,0
767,125,0
768,232,0
769,140,0
770,152,0
771,152,0
772,116,0
773,152,0
774,116,0
775,152,0
776,152,0
777,244,0
778,244,0
779,244,0
780,116,0
781,244,0
782,152,0
783,152,0
784,152,0
785,152,0
786,152,0
787,152,0
788,152,0
789,152,0
790,152,0
791,166,0
792,166,0
793,152,0
794,238,0
795,152,0
796,238,0
797,74,0
798,74,0
799,74,0
800,42,0
801,74,0
802,74,0
803,74,0
804,42,0
805,42,0
806,74,0
807,74,0
808,74,0
809,74,0
810,74,0
811,74,0
812,48,0
813,48,0
814,48,0
815,48,0
816,100,0
817,100,0
818,68,0
819,236,0
820,125,0
821,166,0
822,152,0
823,152,0
824,152,0
825,152,0
826,232,0
827,232,0
828,232,0
829,232,0
830,232,0
831,232,0
832,75,0
833,75,0
834,75,0
835,75,0
836,75,0
837,238,0
838,151,0
839,151,0
840,151,0
841,238,0
842,238,0
843,238,0
844,238,0
845,238,0
846,238,0
847,238,0
848,238,0
849,238,0
850,74,0
851,74,0
852,74,0
853,74,0
854,74,0
855,74,0
856,74,0
857,42,0
858,42,0
859,74,0
860,74,0
861,151,0
862,151,0
863,74,0
864,74,0
865,74,0
866,42,0
867,42,0
868,243,0
869,243,0
870,243,0
871,243,0
872,243,0
873,128,0
874,243,0
875,45,0
876,45,0
877,231,0
878,45,0
879,231,0
880,231,0
881,45,0
882,45,0
883,231,1
884,45,0
885,231,0
886,231,0
887,45,0
888,45,0
889,45,0
890,243,0
891,125,0
892,125,0
893,74,0
894,41,0
895,41,0
896,43,0
897,41,0
898,41,0
899,43,0
900,41,0
901,41,0
902,41,0
903,41,0
904,75,0
905,43,0
906,41,0
907,41,0
908,41,0
909,42,0
910,120,0
911,42,0
912,42,0
913,120,0
914,42,0
915,116,0
916,116,0
917,42,0
918,120,0
919,127,0
920,42,0
921,42,0
922,116,0
923,116,0
924,120,0
925,244,0
926,42,0
927,88,0
928,88,0
929,12,0
930,12,0
931,12,0
932,74,0
933,74,0
934,75,0
935,75,0
936,74,0
937,74,0
938,74,0
939,74,0
940,74,0
941,75,0
942,42,0
943,42,0
944,170,0
945,170,0
946,170,0
947,170,0
948,170,0
949,233,0
950,170,0
951,170,0
952,233,0
953,170,0
954,233,1
955,233,0
956,137,0
957,137,0
958,137,0
959,224,0
960,224,0
961,107,0
962,74,0
963,74,0
964,74,0
965,75,0
966,75,0
967,75,0
968,262,0
969,120,0
970,120,0
971,120,0
972,120,0
973,120,0
974,243,0
975,244,0
976,243,0
977,120,0
978,243,0
979,243,0
980,243,0
981,140,0
982,140,0
983,140,0
984,140,0
985,140,0
986,140,0
987,244,0
988,244,0
989,244,0
990,244,0
991,244,0
992,244,0
993,244,0
994,244,0
995,244,0
996,244,0
997,244,0
998,244,0
999,244,0
1000,244,0
1001,244,0
1002,244,0
1003,244,0
1004,244,0
1005,244,0
1006,244,0
1007,244,0
1008,244,0
1009,244,0
1010,244,0
1011,244,0
1012,244,0
1013,244,0
1014,244,0
1015,244,0
1016,244,0
1017,244,0
1018,244,0
1019,244,0
1020,244,0
1021,244,0
1022,244,0
1023,244,0
1024,244,0
1025,244,0
1026,244,0
1027,244,0
1028,244,0
1029,244,0
1030,244,0
1031,244,0
1032,244,0
1033,244,0
1034,244,0
1035,244,0
1036,244,0
1037,244,0
1038,244,0
1039,244,0
1040,244,0
1041,244,0
1042,244,0
1043,244,0
1044,244,0
1045,244,0
1046,244,0
1047,244,0
1048,244,1
1049,244,0
1050,244,0
1051,244,0
1052,244,0
1053,244,0
1054,244,0
1055,244,0
1056,244,0
1057,244,0
1058,244,0
1059,244,0
1060,244,0
1061,244,0
1062,244,0
1063,244,0
1064,244,0
1065,244,0
1066,244,0
1067,244,0
1068,244,0
1069,244,0
1070,244,0
1071,244,0
1072,244,0
1073,244,0
1074,244,0
1075,244,0
1076,244,0
1077,244,0
1078,244,0
1079,244,0
1080,243,0
1081,244,0
1082,243,0
1083,243,0
1084,243,0
1085,243,0
1086,243,0
1087,243,0
1088,243,0
1089,243,0
1090,244,0
1091,244,0
1092,243,1
1093,243,0
1094,243,0
1095,243,0
1096,244,0
1097,244,0
1098,243,0
1099,243,0
1100,243,0
1101,243,0
1102,243,0
1103,243,0
1104,243,0
1105,243,0
1106,243,0
1107,243,0
1108,243,0
1109,243,0
1110,243,0
1111,243,0
1112,243,0
1113,209,0
1114,209,0
1115,209,0
1116,209,0
1117,209,0
1118,209,0
1119,209,0
1120,87,0
1121,87,0
1122,87,0
1123,87,0
1124,87,0
1125,87,0
1126,87,0
1127,87,0
1128,87,0
1129,87,0
1130,87,0
1131,209,0
1132,209,0
1133,209,0
1134,209,0
1135,45,0
1136,45,0
1137,231,0
1138,45,0
1139,231,0
1140,231,0
1141,231,0
1142,231,0
1143,231,0
1144,45,0
1145,231,0
1146,231,0
1147,231,0
1148,231,0
1149,45,0
1150,45,0
1151,231,0
1152,231,0
1153,144,0
1154,231,0
1155,144,1
1156,45,0
1157,45,0
1158,231,0
1159,231,0
1160,144,0
1161,231,0
1162,144,0
1163,144,0
1164,144,0
1165,144,0
1166,211,0
1167,231,0
1168,144,0
1169,144,0
1170,144,0
1171,144,0
1172,144,0
1173,144,0
