sim_time,zone_id,horizon_start,horizon_end,number_idle,incoming,incoming_repo,tot_fc_demand,tot_fc_supply
1500,87,1500,2400,3,6,0,1.0,
1500,90,1500,2400,0,0,0,1.0,
1500,100,1500,2400,0,0,0,2.0,
1500,229,1500,2400,1,1,0,3.0,
1500,230,1500,2400,0,0,0,2.0,
1500,234,1500,2400,0,0,0,2.0,
1500,107,1500,2400,0,0,0,4.0,
1500,236,1500,2400,2,3,0,1.0,
1500,237,1500,2400,0,0,0,0.0,
1500,238,1500,2400,0,2,0,2.0,
1500,239,1500,2400,0,2,0,1.0,
1500,113,1500,2400,1,1,0,2.0,
1500,114,1500,2400,0,0,0,1.0,
1500,246,1500,2400,0,0,0,1.0,
1500,249,1500,2400,2,2,0,1.0,
1500,125,1500,2400,0,0,0,0.0,
1500,4,1500,2400,0,3,0,,
1500,12,1500,2400,0,0,0,,
1500,13,1500,2400,1,1,0,,
1500,24,1500,2400,0,0,0,,
1500,41,1500,2400,1,1,0,,
1500,42,1500,2400,3,3,0,,
1500,45,1500,2400,2,2,0,,
1500,68,1500,2400,0,0,0,,
1500,74,1500,2400,0,0,0,,
1500,75,1500,2400,0,0,0,,
1500,88,1500,2400,2,3,0,,
1500,116,1500,2400,1,1,0,,
1500,120,1500,2400,2,2,0,,
1500,127,1500,2400,1,1,0,,
1500,128,1500,2400,0,0,0,,
1500,137,1500,2400,0,0,0,,
1500,140,1500,2400,0,0,0,,
1500,151,1500,2400,0,0,0,,
1500,152,1500,2400,1,3,0,,
1500,153,1500,2400,0,0,0,,
1500,194,1500,2400,1,1,0,,
1500,209,1500,2400,2,2,0,,
1500,211,1500,2400,1,1,0,,
1500,224,1500,2400,0,0,0,,
1500,231,1500,2400,1,1,0,,
1500,232,1500,2400,0,0,0,,
1500,233,1500,2400,2,2,0,,
1500,243,1500,2400,4,4,0,,
1500,244,1500,2400,0,0,0,,
1500,261,1500,2400,0,0,0,,
1500,263,1500,2400,1,1,0,,
1800,262,1800,2700,1,1,0,0.0,
1800,141,1800,2700,0,0,0,2.0,
1800,142,1800,2700,2,4,0,1.0,
1800,143,1800,2700,1,1,0,1.0,
1800,144,1800,2700,1,1,0,0.0,
1800,148,1800,2700,1,1,0,1.0,
1800,158,1800,2700,0,0,0,2.0,
1800,161,1800,2700,0,0,0,1.0,
1800,162,1800,2700,0,0,0,1.0,
1800,163,1800,2700,0,1,0,1.0,
1800,164,1800,2700,0,0,0,4.0,
1800,166,1800,2700,1,5,0,0.0,
1800,170,1800,2700,0,0,0,3.0,
1800,43,1800,2700,0,0,0,1.0,
1800,48,1800,2700,2,2,0,4.0,
1800,50,1800,2700,0,0,0,0.0,
1800,186,1800,2700,0,0,0,1.0,
1800,79,1800,2700,0,3,0,3.0,
1800,87,1800,2700,4,7,0,1.0,
1800,90,1800,2700,0,0,0,1.0,
1800,100,1800,2700,0,0,0,2.0,
1800,229,1800,2700,1,1,0,3.0,
1800,230,1800,2700,0,0,0,2.0,
1800,234,1800,2700,0,0,0,2.0,
1800,107,1800,2700,0,0,0,4.0,
1800,236,1800,2700,1,3,0,1.0,
1800,237,1800,2700,0,0,0,0.0,
1800,238,1800,2700,0,1,0,2.0,
1800,239,1800,2700,1,7,0,1.0,
1800,113,1800,2700,1,1,0,2.0,
1800,114,1800,2700,0,0,0,1.0,
1800,246,1800,2700,0,0,0,1.0,
1800,249,1800,2700,1,1,0,1.0,
1800,125,1800,2700,0,0,0,0.0,
1800,4,1800,2700,1,4,0,,
1800,12,1800,2700,0,0,0,,
1800,13,1800,2700,1,1,0,,
1800,24,1800,2700,0,0,0,,
1800,41,1800,2700,0,0,0,,
1800,42,1800,2700,2,2,0,,
1800,45,1800,2700,3,3,0,,
1800,68,1800,2700,0,1,0,,
1800,74,1800,2700,0,0,0,,
1800,75,1800,2700,0,0,0,,
1800,88,1800,2700,2,3,0,,
1800,116,1800,2700,1,1,0,,
1800,120,1800,2700,1,1,0,,
1800,127,1800,2700,1,1,0,,
1800,128,1800,2700,0,0,0,,
1800,137,1800,2700,0,0,0,,
1800,140,1800,2700,0,0,0,,
1800,151,1800,2700,0,0,0,,
1800,152,1800,2700,0,5,0,,
1800,153,1800,2700,0,0,0,,
1800,194,1800,2700,1,1,0,,
1800,209,1800,2700,1,1,0,,
1800,211,1800,2700,1,1,0,,
1800,224,1800,2700,0,0,0,,
1800,231,1800,2700,1,1,0,,
1800,232,1800,2700,0,0,0,,
1800,233,1800,2700,2,2,0,,
1800,243,1800,2700,1,2,0,,
1800,244,1800,2700,0,0,0,,
1800,261,1800,2700,0,0,0,,
1800,263,1800,2700,0,0,0,,
2100,137,2100,3000,0,0,0,1.0,
2100,140,2100,3000,0,0,0,1.0,
2100,13,2100,3000,1,1,0,1.0,
2100,142,2100,3000,1,4,0,0.0,
2100,141,2100,3000,0,0,0,4.0,
2100,144,2100,3000,1,1,0,0.0,
2100,148,2100,3000,1,1,0,2.0,
2100,151,2100,3000,0,0,0,1.0,
2100,158,2100,3000,0,0,0,0.0,
